Mes,A¤o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa¤ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito,,
Agosto,2015,QO,SO,QUERETARO,HERMOSILLO,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,28000,15,3,12.24,38,,
Agosto,2015,QO,EM,QUERETARO,TLALNEPANTLA,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,4450,15,3,12.24,3.5,,
Agosto,2015,QO,TM,QUERETARO,NUEVO LAREDO,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,10850,15,3,12.24,14,,
Agosto,2015,QO,MS,QUERETARO,CUERNAVACA,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,6200,15,3,12.24,5,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,3650,15,3,12.24,3.5,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,4750,15,3,12.24,3.5,,
Agosto,2015,QO,PL,QUERETARO,PUEBLA,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,6300,15,3,12.24,5.5,,
Agosto,2015,QO,QO,QUERETARO,QUERETARO,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,1450,15,3,12.24,1,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,3300,10,3.5,12.24,3.5,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,4100,15,3,12.24,3.5,,
Agosto,2015,SP,DF,SAN LUIS POTOSI,CIUDAD DE MEXICO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,4099,10,3.5,12.24,6.5,,
Agosto,2015,SP,QO,SAN LUIS POTOSI,QUERETARO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,2501,10,3.5,12.24,3,,
Agosto,2015,SP,QO,SAN LUIS POTOSI,QUERETARO,ARTURO PAYAN AGUILAR,THORTON,Diesel,Sencillo,3200,15,3,12.24,3,,
Agosto,2015,GT,DF,SILAO,CIUDAD DE MEXICO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,5200,10,3.5,12.24,6,,
Agosto,2015,EM,EM,TLALNEPANTLA,TOLUCA,TRANSPORTES MENDOZA HERMANOS,RABON,Diesel,Sencillo,2800,10,3.5,12.24,1,,
Agosto,2015,EM,EM,TLALNEPANTLA,TOLUCA,TRANSPORTES MENDOZA HERMANOS,RABON,Diesel,Sencillo,2400,10,3.5,12.24,1,,
Agosto,2015,EM,QO,TOLUCA,QUERETARO,ROSARIO URIBE SEGURA,RABON,Diesel,Sencillo,3250,10,3.5,12.24,3.5,,
Agosto,2015,EM,QO,TOLUCA,QUERETARO,Miguel Dophe Salinas,RABON,Diesel,Sencillo,3900,10,3.5,12.24,3.5,,
Agosto,2015,EM,QO,TLALNEPANTLA,QUERETARO,Miguel Dophe Salinas,THORTON,Diesel,Sencillo,4400,15,3,12.24,3.5,,
Agosto,2015,EM,TM,TOLUCA,NUEVO LAREDO,Miguel Dophe Salinas,THORTON,Diesel,Sencillo,13100,15,3,12.24,17,,
Agosto,2015,EM,EM,TLALNEPANTLA,TOLUCA,Miguel Dophe Salinas,THORTON,Diesel,Sencillo,3515,15,3,12.24,1,,
Agosto,2015,EM,QO,TLALNEPANTLA,QUERETARO,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,4600,15,3,12.24,3.5,,
Agosto,2015,EM,TM,TOLUCA,NUEVO LAREDO,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,13500,15,3,12.24,17,,
Agosto,2015,EM,EM,TLALNEPANTLA,TOLUCA,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,3515,15,3,12.24,1,,
Agosto,2015,TL,DF,TLAXCALA,CIUDAD DE MEXICO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,3500,10,3.5,12.24,3,,
