Mes,A�o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa�ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
Septiembre,2015,CO,TM,RAMOS ARIZPE,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,5975.08571428571,22,2.65,12.24,6
Septiembre,2015,EM,SP,TOLUCA,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,10454.4,22,2.65,12.24,5
Septiembre,2015,EM,SP,TOLUCA,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,10497.6,22,2.65,12.24,5
Septiembre,2015,EM,TM,TOLUCA,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,12500,22,2.65,12.24,20
Septiembre,2015,EM,SP,TOLUCA,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,10195.2,22,2.65,12.24,5
Septiembre,2015,EM,TM,TOLUCA,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,15744,22,2.65,12.24,20
Septiembre,2015,GT,TM,CELAYA,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,13950,22,2.65,12.24,20
Septiembre,2015,GT,TM,SILAO,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,17260.9126213592,22,2.65,12.24,20
Septiembre,2015,GT,SP,SILAO,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,4500,22,2.65,12.24,4
Septiembre,2015,JC,SP,GUADALAJARA,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,10324.8,22,2.65,12.24,6
